입장일,총입장객수,휴일유형,전날_방문객,전전날_방문객,작년동기_방문객,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),일 최심신적설(cm),검색량,비가왔는가,폭염인가,전주_동요일_방문객,명절인가
2023-02-01,12149,0,12409.0,10667.0,,0.9,-3.0,6.0,0.0,3.2,0.0,3.06664,0,0,12149.0,0
2023-02-02,11413,0,12149.0,12409.0,10150.0,-2.4,-5.1,1.4,0.0,2.5,0.0,3.24489,0,0,12149.0,0
2023-02-03,10944,0,11413.0,12149.0,13449.0,-1.6,-3.9,3.4,0.0,2.2,0.0,4.05828,0,0,12149.0,0
2023-02-04,19197,1,10944.0,11413.0,10781.0,-0.2,-5.2,6.0,0.0,2.0,0.0,6.40499,0,0,12149.0,0
2023-02-05,21548,1,19197.0,10944.0,10089.0,1.7,-3.3,7.1,0.0,1.8,0.0,6.14367,0,0,12149.0,0
2023-02-06,11738,0,21548.0,19197.0,11333.0,3.0,-1.7,8.8,0.0,1.6,0.0,3.94233,0,0,12149.0,0
2023-02-07,13366,0,11738.0,21548.0,14441.0,3.5,-0.6,9.5,0.0,1.5,0.0,3.89041,0,0,12149.0,0
2023-02-08,13548,0,13366.0,11738.0,10420.0,2.1,-1.3,7.8,0.0,2.5,0.0,3.80561,0,0,12149.0,0
2023-02-09,14648,0,13548.0,13366.0,13031.0,4.0,-2.8,9.9,0.0,2.5,0.0,4.43556,0,0,11413.0,0
2023-02-10,12461,0,14648.0,13548.0,13073.0,3.8,1.1,6.2,0.6,2.2,0.0,5.24202,1,0,10944.0,0
2023-02-11,23722,1,12461.0,14648.0,13461.0,2.8,-1.2,8.5,0.0,1.8,0.0,9.42318,0,0,19197.0,0
2023-02-12,23207,1,23722.0,12461.0,4717.0,3.7,-0.9,7.6,0.0,1.8,0.0,7.8414,0,0,21548.0,0
2023-02-13,13753,0,23207.0,23722.0,27054.0,5.9,2.7,8.4,0.0,2.3,0.0,4.60689,0,0,11738.0,0
2023-02-14,13485,0,13753.0,23207.0,21615.0,1.7,-2.5,6.6,0.0,2.7,0.0,4.06867,0,0,13366.0,0
2023-02-15,14513,0,13485.0,13753.0,9947.0,3.2,-1.2,8.9,0.0,2.5,0.0,4.43729,0,0,13548.0,0
